topic,subTopic,questionText,choiceA,choiceB,choiceC,choiceD,answer
Basic Peripherals,I2C,What does I2C stand for?,inter-IC,intra-IC,individual integrated chip,intel IC,a
Basic Peripherals,I2C,Which company developed I2C?,Intel,Motorola,Phillips,IBM,c
Basic Peripherals,I2C,Which of the following is the most known simple interface?,I2C,Serial port,Parallel port,SPI,a
Basic Peripherals,I2C,Which are the two lines used in the I2C?,SDA and SPDR,SPDR and SCL,SDA and SCL,SCL and status line,c
Basic Peripherals,I2C,Which of the following developed P82B715?,Philips,Intel,IBM,Motorola,a
Basic Peripherals,I2C,Which pin provides the reference clock for the transfer of data?,SDA,SCL,SPDR,Interrupt pin,b
Basic Peripherals,I2C,Which of the following are the three hardware signals?,"START, STOP, ACKNOWLEDGE","STOP, TERMINATE, END","START, SCL, SDA","STOP, SCL, SDA",a
Basic Peripherals,I2C,Which of the following performs the START signal?,master,slave,CPU,memory,a
Basic Peripherals,I2C,Which of the following are handshake signals?,START,STOP,ACKNOWLEDGE,START and STOP,c
Basic Peripherals,I2C, A packet is also referred to as,postcard,telegram,letter,data,b
Basic Peripherals,I2C, Which of the following byte performs the slave selection?,first byte,second byte,terminal byte,eighth byte,a
Basic Peripherals,I2C,Which of the following indicates the type of operation that the master requests?,address value,initial value,terminal count,first byte,a
Basic Peripherals,I2C,How can both single byte and the double byte address slave use the same bus?,extended memory,extended address,peripheral count,slave bus,b
Basic Peripherals,I2C,Which counter selects the next register in the I2C?,auto-incrementing counter,decrementing counter,auto-decrementing counter,terminal counter,a
Basic Peripherals,I2C,Which is an efficient method for the EEPROM?,combined format,auto-incrementing counter,register set,single format,a
Basic Peripherals,I2C,Which of the following uses two data transfers?,auto-incrementing counter,auto-decrementing counter,combined format,single format,c
Basic Peripherals,I2C,Which of the following is efficient for the small number of registers?,auto-incrementing counter,auto-decrementing counter,combined format,single format,a
Basic Peripherals,I2C,Which can determine the timeout value?,polling,timer,combined format,watchdog timer,a
Basic Peripherals,I2C,How is bus lockup avoided?,timer and polling,combined format,terminal counter,counter,a
Basic Peripherals,I2C,Which of the following can determine if two masters start to use the bus at the same time?,counter detect,collision detect,combined format,auto-incremental counter,b
Basic Peripherals,I2C, Which ports are used in the multi-master system to avoid errors?,unidirectional port,bidirectional port,multi directional port,tridirectional port,b
Basic Peripherals,Parallel Ports,Which of the following can transfer multiple bits of data simultaneously?,serial port,sequential port,concurrent unit,parallel port,d
Basic Peripherals,Parallel Ports,Which of the following are interfaced as inputs to the parallel ports?,LEDs,switch,alphanumeric display,seven segmented display,b
Basic Peripherals,Parallel Ports,Which of the following are interfaced as the outputs to the parallel ports?,keyboards,switches,LEDs,knobs,c
Basic Peripherals,Parallel Ports,How many registers are there to control the parallel port in the basic form?,1,3,2,5,c
Basic Peripherals,Parallel Ports,Which of the following is also known as tri-state?,output port,input port,parallel port,output-input port,a
Basic Peripherals,Parallel Ports,How buffers are enabled in the parallel ports?,by the data register,by data direction register,by individual control register,by data and individual control register,b
Basic Peripherals,Parallel Ports,Which of the following registers offers high impedance?,data register,data direction register,individual control bit,data register and data direction register,c
Basic Peripherals,Parallel Ports,Which of the following can be used as a chip select?,multifunction I/O port,parallel port,DMA port,memory port,a
Basic Peripherals,Parallel Ports,Which of the following is necessary for the parallel input-output port?,inductor,pull-up resistor,push-up resistor,capacitor,b
Basic Peripherals,Parallel Ports, Which of the following can be described as general-purpose?,multifunction I/O port,input port,dma port,output port,a
Basic Peripherals,Serial Port and Serial Peripheral Interface,Which of the following is the pin efficient method of communicating between other devices?,serial port,parallel port,peripheral port,memory port,a
Basic Peripherals,Serial Port and Serial Peripheral Interface,Which of the following depends the number of bits that are transferred?,wait statement,ready statement,time,counter,c
Basic Peripherals,Serial Port and Serial Peripheral Interface,Which of the following is the most commonly used buffer in the serial porting?,LIFO,FIFO,FILO,LILO,b
Basic Peripherals,Serial Port and Serial Peripheral Interface,What does SPI stand for?,serial parallel interface,serial peripheral interface,sequential peripheral interface,sequential port interface,b
Basic Peripherals,Serial Port and Serial Peripheral Interface,Which allows the full duplex synchronous communication between the master and the slave?,SPI,serial port,I2C,parallel port,a
Basic Peripherals,Serial Port and Serial Peripheral Interface,Which of the following processor uses SPI for interfacing?,8086,8253,8254,MC68HC11,d
Basic Peripherals,Serial Port and Serial Peripheral Interface,In which register does the data is written in the master device?,index register,accumulator,SPDR,status register,c
Basic Peripherals,Serial Port and Serial Peripheral Interface,What happens when 8 bits are transferred in the SPI?,wait statement,ready statement,interrupt,remains unchanged,c
Basic Peripherals,Serial Port and Serial Peripheral Interface,Which signal is used to select the slave in the serial peripheral interfacing?,slave select,master select,interrupt,clock signal,a
Basic Peripherals,Serial Port and Serial Peripheral Interface, How much time period is necessary for the slave to receive the interrupt and transfer the data?,4 clock time period,8 clock time period,16 clock time period,24 clock time period,b
Basic Peripherals,Timer,Which of the following helps in the generation of waveforms?,timer,inputs,outputs,memory,a
Basic Peripherals,Timer,Which bit size determines the slowest frequency?,counter size,pre-scalar value,counter,timer,b
Basic Peripherals,Timer,Which bit size determines the maximum value of the counter-derived period?,counter size,pre-scalar value,bit size,byte size,a
Basic Peripherals,Timer,Which of the following timer is suitable for IBM PC?,IA-32,Intel 8253,Intel 64,8051 timer,b
Basic Peripherals,Timer,Which of the following is mode 0 in 8253?,interrupt on start count,interrupt for wait statement,interrupt on terminal count,no interrupt,c
Basic Peripherals,Timer,Which determines the mode 1 in the Intel 8253?,interrupt on terminal count,programmable one-shot,rate generator,square wave rate generator,b
Basic Peripherals,Timer,Which mode of 8253 can provide pulse width modulation?,programmable one-shot,square wave rate generator,software triggered strobe,hardware triggered strobe,a
Basic Peripherals,Timer,Which of the following is the mode 3 in the Intel timer 8253?,rate generator,hardware triggered strobe,square wave rate generator,software triggered strobe,a
Basic Peripherals,Timer,Which of the following determines the rate generation?,divide by N,multiply by N,addition by N,subtraction by N,a
Basic Peripherals,Timer, Which mode of the Intel 8253 timer can generate a square wave?,mode 1,mode 2,mode 3,mode 4,d
Basic Peripherals,Timer,Which mode of the Intel timer 8253 provides a software watchdog timer?,rate generator,hardware triggered strobe,square wave rate generator,software triggered strobe,d
Basic Peripherals,Timer,Which of the following mode is similar to the mode 4 of the 8253 timer?,mode 5,mode 6,mode 0,mode 1,a
